iter	Passed	Remaining
0	7	7087
1	13	6880
2	20	6695
3	26	6714
4	33	6689
5	40	6689
6	48	6842
7	55	6864
8	63	6964
9	69	6921
10	77	6943
11	84	6931
12	90	6884
13	97	6889
14	104	6834
15	110	6807
16	116	6755
17	123	6731
18	129	6703
19	136	6682
20	143	6674
21	149	6651
22	156	6629
23	162	6617
24	169	6618
25	177	6635
26	183	6613
27	190	6596
28	196	6587
29	203	6573
30	209	6559
31	215	6520
32	221	6502
33	228	6478
34	233	6447
35	239	6423
36	245	6394
37	252	6381
38	258	6381
39	265	6362
40	271	6356
41	277	6333
42	284	6321
43	290	6302
44	296	6284
45	302	6265
46	307	6239
47	313	6208
48	318	6185
49	324	6163
50	329	6137
51	336	6132
52	342	6119
53	347	6094
54	353	6077
55	360	6071
56	367	6075
57	373	6060
58	380	6060
59	386	6052
60	392	6042
61	398	6029
62	405	6036
63	412	6035
64	419	6036
65	427	6045
66	433	6031
67	438	6010
68	444	5999
69	450	5982
70	456	5969
71	463	5969
72	469	5963
73	475	5956
74	481	5943
75	487	5926
76	493	5913
77	499	5899
78	504	5878
79	509	5863
80	515	5844
81	520	5827
82	526	5817
83	532	5802
84	537	5786
85	543	5777
86	548	5761
87	554	5743
88	560	5734
89	565	5717
90	570	5703
91	576	5689
92	581	5671
93	586	5657
94	592	5644
95	597	5629
96	603	5618
97	609	5614
98	615	5605
99	621	5597
100	627	5582
101	632	5572
102	639	5565
103	644	5556
104	650	5546
105	657	5541
106	663	5540
107	669	5529
108	674	5517
109	680	5507
110	686	5499
111	692	5488
112	697	5477
113	703	5468
114	708	5455
115	714	5442
116	720	5435
117	725	5423
118	730	5409
119	737	5407
120	745	5418
121	762	5483
122	772	5506
123	780	5515
124	788	5520
125	798	5537
126	805	5534
127	811	5526
128	816	5515
129	822	5503
130	828	5492
131	833	5481
132	839	5472
133	845	5465
134	852	5461
135	858	5455
136	864	5447
137	870	5436
138	876	5431
139	882	5418
140	887	5406
141	893	5398
142	898	5386
143	904	5375
144	909	5365
145	915	5354
146	921	5344
147	926	5335
148	932	5326
149	938	5317
150	943	5307
151	949	5296
152	955	5288
153	960	5276
154	965	5265
155	971	5256
156	977	5247
157	982	5237
158	988	5229
159	993	5217
160	999	5207
161	1004	5198
162	1010	5188
163	1015	5178
164	1022	5172
165	1027	5162
166	1032	5152
167	1039	5145
168	1044	5136
169	1050	5128
170	1055	5118
171	1061	5111
172	1068	5106
173	1073	5098
174	1079	5088
175	1085	5081
176	1090	5072
177	1096	5061
178	1101	5054
179	1107	5045
180	1112	5034
181	1119	5030
182	1125	5024
183	1131	5017
184	1137	5009
185	1142	4999
186	1148	4992
187	1154	4985
188	1159	4977
189	1165	4968
190	1170	4959
191	1177	4953
192	1183	4947
193	1188	4938
194	1194	4930
195	1199	4922
196	1205	4912
197	1210	4904
198	1216	4896
199	1221	4887
200	1227	4880
201	1232	4870
202	1238	4862
203	1244	4854
204	1249	4845
205	1255	4837
206	1261	4831
207	1266	4823
208	1273	4820
209	1280	4815
210	1285	4807
211	1291	4799
212	1296	4790
213	1301	4781
214	1307	4773
215	1312	4765
216	1318	4756
217	1324	4749
218	1329	4741
219	1335	4733
220	1340	4725
221	1346	4718
222	1351	4709
223	1357	4701
224	1362	4694
225	1368	4686
226	1375	4682
227	1381	4677
228	1387	4672
229	1393	4664
230	1400	4663
231	1409	4665
232	1415	4659
233	1421	4653
234	1427	4645
235	1432	4636
236	1438	4629
237	1443	4621
238	1449	4613
239	1454	4606
240	1460	4599
241	1466	4594
242	1473	4591
243	1479	4584
244	1485	4577
245	1490	4569
246	1496	4561
247	1501	4553
248	1506	4545
249	1512	4537
250	1518	4531
251	1523	4523
252	1529	4515
253	1534	4507
254	1540	4500
255	1545	4492
256	1551	4485
257	1556	4477
258	1562	4470
259	1568	4464
260	1574	4457
261	1580	4450
262	1585	4444
263	1591	4436
264	1597	4429
265	1602	4421
266	1607	4414
267	1613	4406
268	1619	4399
269	1625	4394
270	1631	4388
271	1637	4382
272	1642	4374
273	1649	4369
274	1654	4361
275	1660	4356
276	1666	4350
277	1672	4344
278	1679	4341
279	1686	4335
280	1693	4332
281	1700	4328
282	1706	4322
283	1712	4316
284	1717	4309
285	1723	4302
286	1728	4295
287	1734	4287
288	1739	4279
289	1745	4272
290	1750	4265
291	1756	4259
292	1762	4252
293	1767	4244
294	1773	4237
295	1778	4229
296	1783	4221
297	1789	4214
298	1794	4207
299	1800	4200
300	1805	4193
301	1811	4186
302	1817	4179
303	1822	4173
304	1828	4165
305	1833	4158
306	1839	4151
307	1845	4145
308	1850	4138
309	1856	4131
310	1861	4124
311	1867	4118
312	1873	4112
313	1878	4104
314	1885	4099
315	1891	4093
316	1896	4086
317	1902	4079
318	1907	4072
319	1913	4065
320	1918	4058
321	1924	4051
322	1930	4045
323	1935	4038
324	1940	4030
325	1946	4024
326	1952	4018
327	1957	4011
328	1963	4004
329	1969	3997
330	1975	3991
331	1980	3985
332	1986	3978
333	1991	3971
334	1997	3964
335	2002	3956
336	2007	3949
337	2012	3942
338	2017	3934
339	2023	3927
340	2028	3921
341	2034	3914
342	2039	3907
343	2045	3901
344	2051	3895
345	2057	3889
346	2062	3881
347	2067	3874
348	2073	3868
349	2079	3861
350	2084	3854
351	2090	3848
352	2096	3841
353	2101	3835
354	2107	3828
355	2112	3821
356	2117	3814
357	2123	3808
358	2128	3800
359	2133	3793
360	2139	3786
361	2144	3779
362	2149	3771
363	2155	3765
364	2160	3757
365	2165	3751
366	2171	3745
367	2176	3738
368	2182	3731
369	2187	3724
370	2192	3717
371	2198	3710
372	2204	3704
373	2209	3698
374	2214	3691
375	2220	3685
376	2226	3678
377	2232	3673
378	2237	3666
379	2242	3659
380	2248	3652
381	2253	3646
382	2258	3638
383	2264	3632
384	2269	3625
385	2275	3618
386	2281	3613
387	2286	3606
388	2291	3599
389	2297	3593
390	2302	3586
391	2307	3579
392	2313	3573
393	2318	3565
394	2323	3558
395	2329	3552
396	2334	3546
397	2340	3540
398	2346	3534
399	2351	3527
400	2356	3520
401	2362	3513
402	2367	3506
403	2372	3499
404	2377	3493
405	2382	3486
406	2388	3479
407	2393	3472
408	2398	3465
409	2403	3459
410	2409	3452
411	2414	3446
412	2420	3439
413	2425	3433
414	2431	3427
415	2436	3420
416	2442	3414
417	2447	3407
418	2452	3400
419	2457	3394
420	2463	3387
421	2468	3381
422	2474	3374
423	2488	3380
424	2496	3378
425	2505	3375
426	2513	3372
427	2522	3371
428	2530	3367
429	2536	3362
